reading_date,precipitation_sum,rain_sum,town_name
2022-11-01,7.7999997,7.7999997,Carlisle
2022-11-02,9.1,9.1,Carlisle
2022-11-03,4.2,4.2,Carlisle
2022-11-04,0.2,0.2,Carlisle
2022-11-05,8.5,8.5,Carlisle
2022-11-06,0.3,0.3,Carlisle
2022-11-07,10.800002,10.800002,Carlisle
2022-11-08,12.699999,12.699999,Carlisle
2022-11-09,4.2,4.2,Carlisle
2022-11-10,0.6,0.6,Carlisle
2022-11-11,0.9000001,0.9000001,Carlisle
2022-11-12,0.1,0.1,Carlisle
2022-11-13,0.0,0.0,Carlisle
2022-11-14,0.0,0.0,Carlisle
2022-11-15,7.9999995,7.9999995,Carlisle
2022-11-16,0.3,0.3,Carlisle
2022-11-17,13.400001,13.400001,Carlisle
2022-11-18,5.7999997,5.7999997,Carlisle
2022-11-19,0.2,0.2,Carlisle
2022-11-20,5.699999,5.699999,Carlisle
2022-11-21,0.70000005,0.70000005,Carlisle
2022-11-22,0.2,0.2,Carlisle
2022-11-23,6.8,6.8,Carlisle
2022-11-24,14.3,14.3,Carlisle
2022-11-25,1.0,1.0,Carlisle
2022-11-26,7.7,7.7,Carlisle
2022-11-27,1.6,1.6,Carlisle
2022-11-28,0.2,0.2,Carlisle
2022-11-29,0.0,0.0,Carlisle
2022-11-30,0.0,0.0,Carlisle
2022-12-01,0.0,0.0,Carlisle
2022-12-02,0.2,0.2,Carlisle
2022-12-03,0.0,0.0,Carlisle
2022-12-04,1.8000002,1.8000002,Carlisle
2022-12-05,0.0,0.0,Carlisle
2022-12-06,0.0,0.0,Carlisle
2022-12-07,0.0,0.0,Carlisle
2022-12-08,0.0,0.0,Carlisle
2022-12-09,0.0,0.0,Carlisle
2022-12-10,0.0,0.0,Carlisle
2022-12-11,0.0,0.0,Carlisle
2022-12-12,0.0,0.0,Carlisle
2022-12-13,0.0,0.0,Carlisle
2022-12-14,0.0,0.0,Carlisle
2022-12-15,0.0,0.0,Carlisle
2022-12-16,0.0,0.0,Carlisle
2022-12-17,8.900001,3.4999995,Carlisle
2022-12-18,0.0,0.0,Carlisle
2022-12-19,5.699999,5.699999,Carlisle
2022-12-20,0.3,0.3,Carlisle
2022-12-21,9.900001,9.200001,Carlisle
2022-12-22,1.0,1.0,Carlisle
2022-12-23,8.5,8.5,Carlisle
2022-12-24,5.7,5.7,Carlisle
2022-12-25,7.6000004,7.6000004,Carlisle
2022-12-26,2.8000002,2.6000001,Carlisle
2022-12-27,7.4999995,7.4999995,Carlisle
2022-12-28,5.8999996,5.8999996,Carlisle
2022-12-29,1.5000002,1.5000002,Carlisle
2022-12-30,24.400002,24.400002,Carlisle
2022-12-31,11.599999,11.599999,Carlisle
2023-01-01,16.0,16.0,Carlisle
2023-01-02,0.4,0.4,Carlisle
2023-01-03,7.4999995,7.4999995,Carlisle
2023-01-04,6.9,6.9,Carlisle
2023-01-05,8.400001,8.400001,Carlisle
2023-01-06,0.4,0.4,Carlisle
2023-01-07,9.6,9.6,Carlisle
2023-01-08,8.5,8.1,Carlisle
2023-01-09,0.2,0.2,Carlisle
2023-01-10,24.2,24.2,Carlisle
2023-01-11,4.2,4.2,Carlisle
2023-01-12,4.8,4.8,Carlisle
2023-01-13,3.1999998,3.1999998,Carlisle
2023-01-14,19.900002,19.900002,Carlisle
2023-01-15,2.1,1.7,Carlisle
2023-01-16,2.8,1.1,Carlisle
2023-01-17,0.0,0.0,Carlisle
2023-01-18,0.0,0.0,Carlisle
2023-01-19,0.0,0.0,Carlisle
2023-01-20,0.0,0.0,Carlisle
2023-01-21,0.0,0.0,Carlisle
2023-01-22,0.4,0.4,Carlisle
2023-01-23,0.6,0.6,Carlisle
2023-01-24,1.1,1.1,Carlisle
2023-01-25,4.2000003,4.2000003,Carlisle
2023-01-26,0.0,0.0,Carlisle
2023-01-27,0.0,0.0,Carlisle
2023-01-28,0.1,0.1,Carlisle
2023-01-29,0.5,0.5,Carlisle
2023-01-30,0.4,0.4,Carlisle
2023-01-31,6.8,6.5000005,Carlisle
2023-02-01,3.6999998,3.6999998,Carlisle
2023-02-02,1.4000001,1.4000001,Carlisle
2023-02-03,0.70000005,0.70000005,Carlisle
2023-02-04,2.5,2.5,Carlisle
2023-02-05,0.0,0.0,Carlisle
2023-02-06,0.0,0.0,Carlisle
2023-02-07,0.2,0.2,Carlisle
2023-02-08,2.2,2.2,Carlisle
2023-02-09,0.0,0.0,Carlisle
2023-02-10,0.5,0.5,Carlisle
2023-02-11,0.0,0.0,Carlisle
2023-02-12,0.0,0.0,Carlisle
2023-02-13,0.0,0.0,Carlisle
2023-02-14,0.7,0.7,Carlisle
2023-02-15,1.3,1.3,Carlisle
2023-02-16,3.2,3.2,Carlisle
2023-02-17,7.4000006,7.4000006,Carlisle
2023-02-18,11.200001,11.200001,Carlisle
2023-02-19,0.70000005,0.70000005,Carlisle
2023-02-20,4.0,4.0,Carlisle
2023-02-21,0.3,0.3,Carlisle
2023-02-22,2.2,2.2,Carlisle
2023-02-23,0.0,0.0,Carlisle
2023-02-24,0.0,0.0,Carlisle
2023-02-25,0.0,0.0,Carlisle
2023-02-26,0.0,0.0,Carlisle
2023-02-27,0.0,0.0,Carlisle
2023-02-28,0.0,0.0,Carlisle
2023-03-01,0.2,0.2,Carlisle
2023-03-02,0.3,0.3,Carlisle
2023-03-03,0.0,0.0,Carlisle
2023-03-04,0.0,0.0,Carlisle
2023-03-05,1.1,1.1,Carlisle
2023-03-06,1.3000002,1.3000002,Carlisle
2023-03-07,0.1,0.0,Carlisle
2023-03-08,0.0,0.0,Carlisle
2023-03-09,3.6000001,0.3,Carlisle
2023-03-10,2.3,0.1,Carlisle
2023-03-11,1.1,0.6,Carlisle
2023-03-12,10.6,10.6,Carlisle
2023-03-13,22.899998,22.899998,Carlisle
2023-03-14,4.4,1.6000003,Carlisle
2023-03-15,4.6,4.6,Carlisle
2023-03-16,8.4,8.4,Carlisle
2023-03-17,2.6999998,2.6999998,Carlisle
2023-03-18,6.299999,6.299999,Carlisle
2023-03-19,0.8000001,0.8000001,Carlisle
2023-03-20,2.7000003,2.7000003,Carlisle
2023-03-21,9.499999,9.499999,Carlisle
2023-03-22,15.0,15.0,Carlisle
2023-03-23,10.700001,10.700001,Carlisle
2023-03-24,10.700001,10.700001,Carlisle
